stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
43.85912,1,93458,-79.07955,,,,,Brock Road Southbound @ Dellbrook,0,93458:1,
43.999617,2,2460,-78.919108,,,,,Simcoe Northbound @ Howden,0,2460:1,
43.862763,1,996,-78.853452,,,,,Oxford Northbound @ Dwight,0,996:1,
43.85988205,1,92075,-79.01450543,,,,,Salem Southbound @ Mandrake,0,92075:1,
43.8943729,1,203,-78.9484346,,,,,Brock Street Southbound @ Palmerston,0,203:1,
43.87172121,1,2166,-79.060263,,,,,Westbound @ 570 Rossland,0,2166:1,
43.878277,1,140,-78.963114,,,,,McQuay Southbound @ Moonstone,0,140:1,
43.900605,2,201,-78.951449,,,,,Brock Street Southbound @ McCartney,0,201:1,
43.867666,1,991,-78.853571,,,,,Oxford Southbound @ Chandos,0,991:1,
43.833439,2,1909,-79.084465,,,,,Pickering Town Centre,0,1909:1,
43.837188,1,3615,-79.016527,,,,,Lakeridge Health Ajax Pickering East Entrance,0,36151,
43.873007,1,1020,-78.846475,,,,,Wentworth Eastbound @ Ravine,0,1020:1,
43.85911722,2,93460,-78.879086,,,,,Thornton Northbound @ Skae,0,93460:1,
43.840287,1,2300,-79.03458,,,,,Bayly Eastbound @ Westney,0,2300:1,
43.8581551,2,93559,-78.9532997,,,,,Victoria Eastbound @ Seaboard Gate,0,935591,
43.9524,2,94104,-78.87569,,,,,Conlin Eastbound @ Ritson (East side stop),0,941041,
43.841851,1,2302,-79.027566,,,,,Bayly Eastbound @ Mackenzie,0,2302:1,
43.881319,1,1119,-78.829233,,,,,Farewell Southbound @ Raleigh,0,1119:1,
43.855292,1,2154,-79.023336,,,,,Harwood Southbound @ Brock Street,0,2154:1,
43.899752,1,1154,-78.831838,,,,,Harmony Northbound @ Hoskin,0,1154:1,
43.85744,1,1598,-79.043041,,,,,Kingston Westbound @ Westney,0,1598:1,
43.906668,2,183,-78.953906,,,,,Northbound @ 3603 Brock Street,0,183:1,
43.904248,2,1156,-78.835009,,,,,King Westbound @ Harmony,0,1156:1,
43.962954,2,94113,-78.964356,,,,,Carnwith Eastbound @ Way,0,941131,
43.85417,2,2234,-79.056628,,,,,Eastbound @ 625 Kingston,0,2234:1,
43.8230252,1,1842,-79.0848981,,,,,Liverpool Southbound @ Haller,0,1842:1,
43.956057,2,93568,-78.892605,,,,,Britannia Westbound @ Bridle,0,935681,
43.9556422953,2,3556,-78.8997537674,,,,,Simcoe Southbound @ Britannia,0,3556:1,
43.826269,1,1692,-79.094717,,,,,Bayly Eastbound @ Begley,0,1692:1,
43.888161,2,94062,-78.969356,,,,,McQuay Southbound @ Renfield,0,940621,
43.882509,1,448,-78.912511,,,,,Nichol Westbound @ Thickson,0,448:1,
43.873205,1,93242,-78.907153,,,,,Thickson Southbound @ Consumers,0,93242:1,
43.882767,1,315,-78.911373,,,,,Thickson Southbound @ Nichol,0,315:1,
43.821982,2,1711,-79.051915,,,,,Squires Beach Northbound @ McKay,0,1711:1,
43.87764539,1,317,-78.908946,,,,,Thickson Southbound @ Burns,0,317:1,
43.87795,2,3562,-78.832953,,,,,Wentworth Westbound @ Wilson,0,3562:1,
43.832102,1,94090,-79.032704,,,,,Clements Westbound @ Westney,0,940901,
43.9188963,1,380,-78.9406966,,,,,Eastbound @ 435 Taunton,0,380:1,
43.828787,1,1694,-79.086666,,,,,Bayly Eastbound @ Liverpool,0,1694:1,
43.904842,2,93013,-79.001623,,,,,Taunton Eastbound @ Lake Ridge,0,93013:1,
43.88699031,2,1362,-78.869855,,,,,Park Southbound @ Marland,0,1362:1,
43.891145,1,471,-78.978273,,,,,Rossland Eastbound @ McQuay,0,471:1,
43.815436,2,1707,-79.06029,,,,,Montgomery Park Eastbound @ Brock Road,0,1707:1,
43.870662,1,2585,-78.886365,,,,,Oshawa Station,0,2585:1,
43.876345,2,93276,-78.878626,,,,,Champlain Westbound @ Fox,0,93276:1,
43.911026,2,1455,-78.684811,,,,,King Eastbound @ Ontario,0,1455:1,
43.912852,2,125,-78.967362,,,,,Taunton Eastbound @ Cochrane,0,125:1,
43.858316,2,3029,-79.038196,,,,,Kingston Eastbound @ Westney Heights Plaza,0,3029:1,
43.852479,2,93557,-78.979306,,,,,Bayly Eastbound @ Lake Ridge,0,935571,
43.841299,2,1873,-79.114271,,,,,Finch Westbound @ Fairport,0,1873:1,
43.896968,1,31,-78.938877,,,,,Garden Southbound @ Bassett,0,31:1,
43.8747274,2,93015,-79.0500943,,,,,Rossland Westbound @ Stevensgate,0,93015:1,
43.898728,1,477,-78.944498,,,,,Rossland Eastbound @ Civic Centre Drive,0,477:1,
43.84276,2,1871,-79.107413,,,,,Finch Westbound @ Lynn Heights,0,1871:1,
43.8946786,2,1364,-78.873147,,,,,Park Northbound @ King,0,1364:1,
43.87883,2,93146,-79.017271,,,,,Northbound @ 967 Salem,0,93146:1_merged_999965,
43.825457,1,2064,-79.013211,,,,,Harwood Northbound @ Clover Ridge,0,2064:1,
43.855562,1,93001,-78.865681,,,,,Renaissance Westbound @ Noel,0,93001:1,
43.869763,2,324,-78.918451,,,,,Westbound @ 106 Consumers,0,324:1,
43.878356,2,3302,-79.0334,,,,,Rossland Eastbound @ Woodcock,0,3302:1,
43.9072446,1,488,-78.9069581,,,,,Rossland Eastbound @ William Davidson,0,488:1,
43.879842,1,139,-78.965696,,,,,McQuay Southbound @ Kennett,0,139:1,
43.8689872,1,326,-78.9237719,,,,,Consumers Westbound @ Cannon,0,326:1,
43.8587,1,3584,-78.94381,,,,,Gordon Southbound @ Whitby Shores Greenway,0,35841,
43.821489,2,2062,-79.012673,,,,,Lake Driveway Eastbound @ Harwood,0,2062:1,
43.925753,1,3178,-78.854111,,,,,Wilson Northbound @ Attersley,0,3178:1,
43.815212,2,1705,-79.070712,,,,,Southbound @ 675 Sandy Beach Road,0,1705:1,
43.87216,1,92016,-79.05784,,,,,Rossland Eastbound @ Harkins,0,92016:1,
43.879163,1,93145,-79.017714,,,,,Southbound @ 800 Salem,0,93145:1_merged_999967,
43.879163,1,93145,-79.017714,,,,,Southbound @ 964 Salem,0,93145:1_merged_999963,
43.826381,2,3075,-79.033125,,,,,Lake Driveway Southbound @ Vale,0,3075:1,
43.830755,2,2276,-79.016374,,,,,Westney Eastbound @ Harwood,0,2276:1,
43.87443,2,1014,-78.863301,,,,,Malaga Eastbound @ Park,0,1014:1,
43.9107906,2,93730,-78.72386,,,,,Durham Highway 2 Westbound @ Maple Grove,0,937301,
43.909431,1,566,-78.896541,,,,,Rossland Eastbound @ Waverly,0,566:1,
43.856592,1,961,-78.863184,,,,,Renaissance Eastbound @ Connery,0,961:1,
43.831109,1,2083,-79.014812,,,,,Harwood Southbound @ Westney,0,2083:1,
43.8576991,1,2236,-79.0409645,,,,,Kingston Eastbound @ Westney,0,2236:1,
43.834988,1,2081,-79.015122,,,,,Harwood Southbound @ Clements,0,2081:1,
43.885866,1,539,-78.890887,,,,,Thornton Northbound @ Donegal,0,539:1,
43.906406,1,1200,-78.813775,,,,,King Eastbound @ Townline,0,1200:1,
43.907393,1,1225,-78.803827,,,,,Highway 2 Eastbound @ Old Kingston,0,1225:1,
43.917545,1,868,-78.861715,,,,,Ritson Southbound @ Rossland,0,868:1,
43.932287,1,90083,-78.857147,,,,,Wilson Southbound @ Beatrice,0,90083:1,
43.9121115,2,93721,-78.777044,,,,,Durham Highway 2 @ Courtice Road,0,937211,
43.836906,1,1960,-79.078013,,,,,Pickering Parkway Eastbound @ Valley Farm,0,1960:1,
43.9029456,1,93305,-78.790222,,,,,Sandringham Eastbound @ Yorkville,0,93305:1,
43.90560521,1,1197,-78.823016,,,,,King Eastbound @ Grandview,0,1197:1,
43.836801,2,3096,-79.022498,,,,,Northbound @ 574 Monarch,0,3096:1,
43.893594,2,93345,-78.806799,,,,,Glenabbey Eastbound @ Townline,0,93345:1,
43.893866,1,1259,-78.836928,,,,,Olive Westbound @ Baldwin,0,1259:1,
43.896487,1,93343,-78.798938,,,,,Glenabbey Eastbound @ Robert Adams,0,93343:1,
43.845921,1,1863,-79.084151,,,,,Southbound @ 1972 Valley Farm,0,1863:1,
43.82876,2,1719,-79.065535,,,,,Brock Road Northbound @ Quigley,0,1719:1,
43.95386,2,3630,-78.95961,,,,,Winchester Eastbound @ Chelmsford,0,36301,
43.908217,2,2705,-78.986958,,,,,Taunton Eastbound @ Coronation,0,2705:1,
43.87933,2,3113,-78.82801,,,,,Colonel Sam Westbound @ Farewell,0,3113:1,
43.906125,1,1199,-78.816804,,,,,King Eastbound @ Eastlawn,0,1199:1,
43.864934,1,997,-78.852459,,,,,Oxford Northbound @ Venus,0,997:1,
43.934956,1,644,-78.83658,,,,,Grandview Northbound @ Summitview (North stop),0,644:1,
43.835759,1,1911,-79.082959,,,,,Northbound @ 1869 Glenanna,0,1911:1,
43.8317563,2,2092,-79.0021836,,,,,Pickering Beach Northbound @ Rollo (South stop),0,2092:1,
43.9054377,2,93732,-78.70954,,,,,Clarington Blvd Westbound @ Green Road,0,937321,
43.905223,1,3172,-78.710404,,,,,Green Southbound @ Boswell,0,3172:1,
43.85056,2,93122,-79.02586,,,,,Station Westbound @ Mills,0,93122:1,
43.895256,2,93714,-78.85178,,,,,Ritson Southbound @ Eulalie,0,937141,
43.82257,1,1521,-79.149972,,,,,Pine Grove Southbound @ Valley Ridge,0,1521:1,
43.952855,2,705,-78.89823,,,,,Simcoe Northbound @ Northern Dancer,0,705:1,
43.820255,1,1523,-79.150888,,,,,Valley Ridge Southbound @ Thicket,0,1523:1,
