block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,direction_name
a_12908_Timetable_-_2022-03,900,1,0,Oshawa,100.0.995817755_Timetable_-_2022-03,Saturday Plus,9430__12908_Timetable_-_2022-03,Eastbound
b_14019_Timetable_--_2022-04,407,1,0,Harmony Terminal,100.0.1046829536_Timetable_--_2022-04,Weekday,5649__14019_Timetable_--_2022-04,Northbound
a_3608_Timetable_-_2022-03,302,1,0,Brooklin,100.0.1433262811_Timetable_-_2022-03,Sunday Plus,7071__3608_Timetable_-_2022-03,Northbound
a_64013_Timetable_-_2022-03,902,1,1,A - Oshawa Station via Oshawa Centre Terminal,100.0.1152218524_Timetable_-_2022-03,Sunday Plus,8463__64013_Timetable_-_2022-03,Westbound
b_12014_Timetable_--_2022-04,112,1,1,Pickering Parkway Terminal,100.0.1378733853_Timetable_--_2022-04,Weekday,5269__12014_Timetable_--_2022-04,Southbound
b_72907_Timetable_--_2022-04,900,1,1,B - Pickering Town Centre,100.0.11522189610_Timetable_--_2022-04,Sunday,8237__72907_Timetable_--_2022-04,Westbound
b_62013_Timetable_--_2022-04,916,1,0,Harmony Terminal,100.0.104683032916_Timetable_--_2022-04,Saturday,8757__62013_Timetable_--_2022-04,Eastbound
a_62006_Timetable_-_2022-03,224,1,1,Ajax Station,100.0.1046832382_Timetable_-_2022-03,Sunday Plus,7626__62006_Timetable_-_2022-03,Westbound
b_12024_Timetable_--_2022-04,216,1,0,Taunton,100.0.1046828841_Timetable_--_2022-04,Weekday,5352__12024_Timetable_--_2022-04,Northbound
b_14021_Timetable_--_2022-04,407,1,1,A - Farewell & Raleigh via Colonel Sam Drive,100.0.1046829532_Timetable_--_2022-04,Weekday,5635__14021_Timetable_--_2022-04,Southbound
a_72005_Timetable_-_2022-03,224,1,1,Ajax Station,100.0.1046832382_Timetable_-_2022-03,Sunday Minus,7686__72005_Timetable_-_2022-03,Westbound
b_14901_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,2.0.12015901_Timetable_--_2022-04,Weekday,5817__14901_Timetable_--_2022-04,Northbound
a_14019_Timetable_-_2022-03,405,1,0,Harmony Terminal,100.0.1046829421_Timetable_-_2022-03,Saturday Plus,5877__14019_Timetable_-_2022-03,Northbound
a_12917_Timetable_-_2022-03,N1,1,1,Centennial Circle,100.0.1306700972_Timetable_-_2022-03,Saturday Plus,6927__12917_Timetable_-_2022-03,Westbound
a_72010_Timetable_-_2022-03,224,1,0,Taunton,100.0.1190313705_Timetable_-_2022-03,Sunday Minus,7707__72010_Timetable_-_2022-03,Eastbound
b_3702_Timetable_--_2022-04,905,1,0,B - Uxbridge via Port Perry,100.0.1433264881_Timetable_--_2022-04,Sunday,6867__3702_Timetable_--_2022-04,Northbound
b_12022_Timetable_--_2022-04,110,1,0,Pickering Parkway Terminal,100.0.1263064133_Timetable_--_2022-04,Weekday,5199__12022_Timetable_--_2022-04,Eastbound
b_14011_Timetable_--_2022-04,902,1,0,B - Trulls Road,100.0.15478189814_Timetable_--_2022-04,Weekday,5998__14011_Timetable_--_2022-04,Eastbound
a_62012_Timetable_-_2022-03,916,1,1,Pickering Parkway Terminal,100.0.1046830329161_Timetable_-_2022-03,Sunday Plus,9210__62012_Timetable_-_2022-03,Westbound
a_64008_Timetable_-_2022-03,410,1,0,Harmony Terminal,100.0.1046829821_Timetable_-_2022-03,Sunday Plus,7895__64008_Timetable_-_2022-03,Northbound
a_14909_Timetable_-_2022-03,901,1,1,B - Oshawa Centre Terminal,100.0.1190313163_Timetable_-_2022-03,Saturday Plus,6354__14909_Timetable_-_2022-03,Southbound
b_64012_Timetable_--_2022-04,403,1,0,Oshawa Centre Terminal,100.0.1046829277_Timetable_--_2022-04,Saturday,7782__64012_Timetable_--_2022-04,Northbound
b_12015_Timetable_--_2022-04,916,1,1,C - Pickering Parkway Terminal via Terrace Drive,100.0.1046830329163_Timetable_--_2022-04,Weekday,9110__12015_Timetable_--_2022-04,Westbound
a_3722_Timetable_-_2022-03,905,1,0,A - Harmony Terminal,100.0.1433264883_Timetable_-_2022-03,Sunday Minus,7396__3722_Timetable_-_2022-03,Northbound
b_3137_Timetable_--_2022-04,905,1,0,B - Uxbridge via Port Perry,100.0.1433264881_Timetable_--_2022-04,Weekday,6764__3137_Timetable_--_2022-04,Northbound
b_3709_Timetable_--_2022-04,302,1,0,Brooklin,100.0.1433262811_Timetable_--_2022-04,Sunday,6627__3709_Timetable_--_2022-04,Northbound
a_3715_Timetable_-_2022-03,917,1,0,Oshawa Centre Terminal,100.0.1046831486_Timetable_-_2022-03,Sunday Minus,6845__3715_Timetable_-_2022-03,Eastbound
a_14011_Timetable_-_2022-03,411,1,0,Trulls & Highway  2,100.0.1393318752_Timetable_-_2022-03,Saturday Plus,6065__14011_Timetable_-_2022-03,Eastbound
b_74905_Timetable_--_2022-04,901,1,0,Ontario Tech/Durham College North Campus,2.0.12015901_Timetable_--_2022-04,Sunday,8455__74905_Timetable_--_2022-04,Northbound
a_74003_Timetable_-_2022-03,403,1,1,Oshawa Station,100.0.1046829271_Timetable_-_2022-03,Sunday Minus,8376__74003_Timetable_-_2022-03,Southbound
a_62007_Timetable_-_2022-03,216,1,1,Ajax Station,100.0.1046828842_Timetable_-_2022-03,Sunday Plus,7754__62007_Timetable_-_2022-03,Southbound
a_74903_Timetable_-_2022-03,901,1,1,B - Oshawa Centre Terminal,100.0.1190313163_Timetable_-_2022-03,Sunday Minus,9032__74903_Timetable_-_2022-03,Southbound
a_14806_Timetable_-_2022-03,900,1,0,Oshawa,100.0.995817755_Timetable_-_2022-03,Saturday Plus,9448__14806_Timetable_-_2022-03,Eastbound
a_64012_Timetable_-_2022-03,902,1,0,A - Simpson Avenue via Oshawa Centre Terminal,100.0.11522185210_Timetable_-_2022-03,Sunday Plus,8414__64012_Timetable_-_2022-03,Eastbound
a_12016_Timetable_-_2022-03,103,1,0,Pickering Parkway Terminal,100.0.1383072902_Timetable_-_2022-03,Saturday Plus,5421__12016_Timetable_-_2022-03,Eastbound
b_14025_Timetable_--_2022-04,405,1,0,C - Harmony Terminal via Delpark Homes Centre,100.0.1046829423_Timetable_--_2022-04,Weekday,5569__14025_Timetable_--_2022-04,Northbound
a_62008_Timetable_-_2022-03,916,1,0,C - Harmony Terminal via Terrace Drive,100.0.1046830329164_Timetable_-_2022-03,Sunday Plus,9227__62008_Timetable_-_2022-03,Eastbound
a_64013_Timetable_-_2022-03,902,1,1,A - Oshawa Station via Oshawa Centre Terminal,100.0.1152218524_Timetable_-_2022-03,Sunday Plus,8439__64013_Timetable_-_2022-03,Westbound
b_72009_Timetable_--_2022-04,120,1,1,Pickering Station,100.0.1046828734_Timetable_--_2022-04,Sunday,7012__72009_Timetable_--_2022-04,Southbound
b_64013_Timetable_--_2022-04,410,1,1,Oshawa Centre Terminal,100.0.1046829822_Timetable_--_2022-04,Saturday,7398__64013_Timetable_--_2022-04,Southbound
b_72010_Timetable_--_2022-04,216,1,1,Ajax Station,100.0.1046828842_Timetable_--_2022-04,Sunday,7335__72010_Timetable_--_2022-04,Southbound
b_72004_Timetable_--_2022-04,916,1,0,C - Harmony Terminal via Terrace Drive,100.0.1046830329164_Timetable_--_2022-04,Sunday,8801__72004_Timetable_--_2022-04,Eastbound
b_64907_Timetable_--_2022-04,900,1,1,Scarborough,100.0.995817752_Timetable_--_2022-04,Saturday,8153__64907_Timetable_--_2022-04,Westbound
